Stadium,Team,Starting Year,Latitude,Longitude,Center Field Vector,Prompt,Start year: most recent season since major stadium changes or 2015 if stadium change year yields less than 5 seasons fo data
Nationals,Nationals Park,2015,38.873966,-77.007401,N-NE,"Repeat the analysis we did for fenway for the washington nationals' Nationals Park to build a clean data set with weather and play statistics for each game played in Nationals Park from 2015-2025. Create a new folder and jupyter notebook called nationals_analysis. Output the final data set as nationals_data_2015.csv in the final datasets folder. The stadium is located at (38.873966, -77.007401). The vector from home plate to center field points roughly north-northeast (22.5 degrees on a compass).",
Dodgers,Dodger Stadium,2015,34.073432,-118.24026,N-NE,"Repeat the analysis we did for fenway for the los angeles dodgers' Dodger Stadium to build a clean data set with weather and play statistics for each game played in Dodger Stadium from 2015-2025. Create a new folder and jupyter notebook called dodgers_analysis. Output the final data set as dodgers_data_2015.csv in the final datasets folder. The stadium is located at (34.073432, -118.24026). The vector from home plate to center field points roughly north-northeast (22.5 degrees on a compass).","Notable finding: the wind projections at Dodger Stadium are strongly positive on average (wind_cf mean = 7.7 km/h blowing out), which aligns with the prevailing southwest winds pushing toward the NNE-facing outfield."
Tigers,Comerica Park,2015,42.339474,-83.049027,S-SE,"Repeat the analysis we did for fenway for the detroit tigers' Comerica Park to build a clean data set with weather and play statistics for each game played in Comerica Park from 2015-2025. Create a new folder and jupyter notebook called tigers_analysis. Output the final data set as tigers_data_2015.csv in the final datasets folder. The stadium is located at (42.339474, -83.049027). The vector from home plate to center field points roughly south-southeast (157.5 degrees on a compass).",
Cardinals,Busch Stadium,2015,38.622775,-90.192702,NE,"Repeat the analysis we did for fenway for the st. louis cardinals' Busch Stadium to build a clean data set with weather and play statistics for each game played in Busch Stadium from 2015-2025. Create a new folder and jupyter notebook called cardinals_analysis. Output the final data set as cardinals_data_2015.csv in the final datasets folder. The stadium is located at (38.622775, -90.192702). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Orioles,Oriole Park at Camden Yards,2015,39.284176,-76.622368,N-NE,"Repeat the analysis we did for fenway for the baltimore orioles' Oriole Park at Camden Yards to build a clean data set with weather and play statistics for each game played in Oriole Park at Camden Yards from 2015-2025. Create a new folder and jupyter notebook called orioles_analysis. Output the final data set as orioles_data_2015.csv in the final datasets folder. The stadium is located at (39.284176, -76.622368). The vector from home plate to center field points roughly north-northeast (22.5 degrees on a compass).",
Blue Jays,Rogers Centre,2015,43.641682,-79.389181,N,"Repeat the analysis we did for fenway for the toronto blue jays' Rogers Centre to build a clean data set with weather and play statistics for each game played in Rogers Centre from 2015-2025. Create a new folder and jupyter notebook called blue_jays_analysis. Output the final data set as blue_jays_data_2015.csv in the final datasets folder. The stadium is located at (43.641682, -79.389181). The vector from home plate to center field points roughly north (0 degrees on a compass).",
Yankees,Yankee Stadium,2015,40.829682,-73.926305,E-NE,"Repeat the analysis we did for fenway for the new york yankees' Yankee Stadium to build a clean data set with weather and play statistics for each game played in Yankee Stadium from 2015-2025. Create a new folder and jupyter notebook called yankees_analysis. Output the final data set as yankees_data_2015.csv in the final datasets folder. The stadium is located at (40.829682, -73.926305). The vector from home plate to center field points roughly east-northeast (67.5 degrees on a compass).",
Astros,Daikin Park,2017,29.756548,-95.355532,N-NW,"Repeat the analysis we did for fenway for the houston astros' Daikin Park to build a clean data set with weather and play statistics for each game played in Daikin Park from 2017-2025. Create a new folder and jupyter notebook called astros_analysis. Output the final data set as astros_data_2017.csv in the final datasets folder. The stadium is located at (29.756548, -95.355532). The vector from home plate to center field points roughly north-northwest (337.5 degrees on a compass).",
Pirates,PNC Park,2015,40.447059,-80.005633,E-SE,"Repeat the analysis we did for fenway for the pittsburgh pirates' PNC Park to build a clean data set with weather and play statistics for each game played in PNC Park from 2015-2025. Create a new folder and jupyter notebook called pirates_analysis. Output the final data set as pirates_data_2015.csv in the final datasets folder. The stadium is located at (40.447059, -80.005633). The vector from home plate to center field points roughly east-southeast (112.5 degrees on a compass).",
White Sox,Rate Field,2015,41.830017,-87.634598,E-SE,"Repeat the analysis we did for fenway for the chicago white sox's Rate Field to build a clean data set with weather and play statistics for each game played in Rate Field from 2015-2025. Create a new folder and jupyter notebook called white_sox_analysis. Output the final data set as white_sox_data_2015.csv in the final datasets folder. The stadium is located at (41.830017, -87.634598). The vector from home plate to center field points roughly east-southeast (112.5 degrees on a compass).",
Mets,Citi Field,2015,40.756648,-73.846326,N-NE,"Repeat the analysis we did for fenway for the new york mets' Citi Field to build a clean data set with weather and play statistics for each game played in Citi Field from 2015-2025. Create a new folder and jupyter notebook called mets_analysis. Output the final data set as mets_data_2015.csv in the final datasets folder. The stadium is located at (40.756648, -73.846326). The vector from home plate to center field points roughly north-northeast (22.5 degrees on a compass).",
Brewers,American Family Field,2015,43.028445,-87.971114,SE,"Repeat the analysis we did for fenway for the milwaukee brewers' American Family Field to build a clean data set with weather and play statistics for each game played in American Family Field from 2015-2025. Create a new folder and jupyter notebook called brewers_analysis. Output the final data set as brewers_data_2015.csv in the final datasets folder. The stadium is located at (43.028445, -87.971114). The vector from home plate to center field points roughly southeast (135 degrees on a compass).",
Giants,Oracle Park,2020,37.778572,-122.389717,E,"Repeat the analysis we did for fenway for the san francisco giants' Oracle Park to build a clean data set with weather and play statistics for each game played in Oracle Park from 2020-2025. Create a new folder and jupyter notebook called giants_analysis. Output the final data set as giants_data_2020.csv in the final datasets folder. The stadium is located at (37.778572, -122.389717). The vector from home plate to center field points roughly east (90 degrees on a compass).",
Cubs,Wrigley Field,2015,41.947904,-87.65581,NE,"Repeat the analysis we did for fenway for the chicago cubs' Wrigley Field to build a clean data set with weather and play statistics for each game played in Wrigley Field from 2015-2025. Create a new folder and jupyter notebook called cubs_analysis. Output the final data set as cubs_data_2015.csv in the final datasets folder. The stadium is located at (41.947904, -87.65581). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Padres,Petco Park,2015,32.707391,-117.156653,N,"Repeat the analysis we did for fenway for the san diego padres' Petco Park to build a clean data set with weather and play statistics for each game played in Petco Park from 2015-2025. Create a new folder and jupyter notebook called padres_analysis. Output the final data set as padres_data_2015.csv in the final datasets folder. The stadium is located at (32.707391, -117.156653). The vector from home plate to center field points roughly north (0 degrees on a compass).",
Guardians,Progressive Field,2015,41.495506,-81.685286,N,"Repeat the analysis we did for fenway for the cleveland guardians' Progressive Field to build a clean data set with weather and play statistics for each game played in Progressive Field from 2015-2025. Create a new folder and jupyter notebook called guardians_analysis. Output the final data set as guardians_data_2015.csv in the final datasets folder. The stadium is located at (41.495506, -81.685286). The vector from home plate to center field points roughly north (0 degrees on a compass).",
Rangers,Globe Life Field,2015,32.751987,-97.081703,E-NE,"Repeat the analysis we did for fenway for the texas rangers' Globe Life Field to build a clean data set with weather and play statistics for each game played in Globe Life Field from 2015-2025. Create a new folder and jupyter notebook called rangers_analysis. Output the final data set as rangers_data_2015.csv in the final datasets folder. The stadium is located at (32.751987, -97.081703). The vector from home plate to center field points roughly east-northeast (67.5 degrees on a compass).",
Mariners,T-Mobile Park,2015,47.59148,-122.332863,NE,"Repeat the analysis we did for fenway for the seattle mariners' T-Mobile Park to build a clean data set with weather and play statistics for each game played in T-Mobile Park from 2015-2025. Create a new folder and jupyter notebook called mariners_analysis. Output the final data set as mariners_data_2015.csv in the final datasets folder. The stadium is located at (47.59148, -122.332863). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Athletics,Oakland Colliseum,2015-2024,37.7514,-122.2009,NE,"Repeat the analysis we did for fenway for the oakland athletics' Oakland Colliseum to build a clean data set with weather and play statistics for each game played in Oakland Colliseum from 2015-2024. Create a new folder and jupyter notebook called athletics_analysis. Output the final data set as athletics_data_2015.csv in the final datasets folder. The stadium is located at (37.7514, -122.2009). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Rays,tropicana,2015-2025,,,NE,"Repeat the analysis we did for Fenway for the Tampa Bay Rays' Tropicana Field to build a clean data set with weather and play statistics for each game played in Tropicana Field from 2015-2025. Create a new folder and jupyter notebook called rays_analysis. Output the final data set as rays_data_2015.csv in the final datasets folder. The stadium is located at (27.768219, -82.653400). The vector from home plate to center field points roughly northeast (approximately 45 degrees on a compass).",
